rank,strategy,combination,numbers,even_count,odd_count,low_count,high_count,sum,unique_values,historical_fit_score,seen_before_count,rambolito_key,straight_permutations,theoretical_odds_1_in,odds_scope,note
1,Uniform baseline,407126,"['4', '0', '7', '1', '2', '6']",4,2,4,2,20,6,43.66,0,,,1000000,Standard game,"Historical fit is descriptive, not a win probability."
2,Uniform baseline,008258,"['0', '0', '8', '2', '5', '8']",5,1,3,3,23,4,47.78,0,,,1000000,Standard game,"Historical fit is descriptive, not a win probability."
3,Uniform baseline,445496,"['4', '4', '5', '4', '9', '6']",4,2,3,3,32,4,55.66,0,,,1000000,Standard game,"Historical fit is descriptive, not a win probability."
4,Uniform baseline,153273,"['1', '5', '3', '2', '7', '3']",1,5,4,2,21,5,40.66,0,,,1000000,Standard game,"Historical fit is descriptive, not a win probability."
5,Smoothed frequency,057459,"['0', '5', '7', '4', '5', '9']",2,4,2,4,30,5,89.0,0,,,1000000,Standard game,"Historical fit is descriptive, not a win probability."
6,Smoothed frequency,906551,"['9', '0', '6', '5', '5', '1']",2,4,2,4,26,5,87.92,0,,,1000000,Standard game,"Historical fit is descriptive, not a win probability."
7,Smoothed frequency,025778,"['0', '2', '5', '7', '7', '8']",3,3,2,4,29,5,87.85,0,,,1000000,Standard game,"Historical fit is descriptive, not a win probability."
8,Historical profile,055729,"['0', '5', '5', '7', '2', '9']",2,4,2,4,28,5,92.16,0,,,1000000,Standard game,"Historical fit is descriptive, not a win probability."
9,Historical profile,956150,"['9', '5', '6', '1', '5', '0']",2,4,2,4,26,5,89.86,0,,,1000000,Standard game,"Historical fit is descriptive, not a win probability."
10,Historical profile,652763,"['6', '5', '2', '7', '6', '3']",3,3,2,4,29,5,89.79,0,,,1000000,Standard game,"Historical fit is descriptive, not a win probability."
