rank,strategy,combination,numbers,even_count,odd_count,low_count,high_count,sum,unique_values,historical_fit_score,seen_before_count,rambolito_key,straight_permutations,theoretical_odds_1_in,odds_scope,note
1,Uniform baseline,713,"['7', '1', '3']",0,3,2,1,11,3,53.08,0,137,6,1000,Straight play,"Historical fit is descriptive, not a win probability."
2,Uniform baseline,699,"['6', '9', '9']",1,2,0,3,24,2,13.88,0,699,3,1000,Straight play,"Historical fit is descriptive, not a win probability."
3,Uniform baseline,466,"['4', '6', '6']",3,0,1,2,16,2,69.4,0,466,3,1000,Straight play,"Historical fit is descriptive, not a win probability."
4,Uniform baseline,205,"['2', '0', '5']",2,1,2,1,7,3,67.83,0,025,6,1000,Straight play,"Historical fit is descriptive, not a win probability."
5,Smoothed frequency,562,"['5', '6', '2']",2,1,1,2,13,3,92.1,1,256,6,1000,Straight play,"Historical fit is descriptive, not a win probability."
6,Smoothed frequency,582,"['5', '8', '2']",2,1,1,2,15,3,91.4,0,258,6,1000,Straight play,"Historical fit is descriptive, not a win probability."
7,Smoothed frequency,726,"['7', '2', '6']",2,1,1,2,15,3,91.4,0,267,6,1000,Straight play,"Historical fit is descriptive, not a win probability."
8,Historical profile,526,"['5', '2', '6']",2,1,1,2,13,3,92.1,0,256,6,1000,Straight play,"Historical fit is descriptive, not a win probability."
9,Historical profile,546,"['5', '4', '6']",2,1,1,2,15,3,91.4,0,456,6,1000,Straight play,"Historical fit is descriptive, not a win probability."
10,Historical profile,506,"['5', '0', '6']",2,1,1,2,11,3,89.74,0,056,6,1000,Straight play,"Historical fit is descriptive, not a win probability."
