rank,strategy,combination,numbers,even_count,odd_count,low_count,high_count,sum,unique_values,historical_fit_score,seen_before_count,rambolito_key,straight_permutations,theoretical_odds_1_in,note
1,Uniform baseline,828627,"['8', '2', '8', '6', '2', '7']",5,1,2,4,33,4,53.6,0,,,1000000,"Historical fit is descriptive, not a win probability."
2,Uniform baseline,776119,"['7', '7', '6', '1', '1', '9']",1,5,2,4,31,4,55.69,0,,,1000000,"Historical fit is descriptive, not a win probability."
3,Uniform baseline,300613,"['3', '0', '0', '6', '1', '3']",3,3,5,1,13,4,52.7,0,,,1000000,"Historical fit is descriptive, not a win probability."
4,Uniform baseline,373636,"['3', '7', '3', '6', '3', '6']",2,4,3,3,28,3,67.89,0,,,1000000,"Historical fit is descriptive, not a win probability."
5,Smoothed frequency,926127,"['9', '2', '6', '1', '2', '7']",3,3,3,3,27,5,83.2,0,,,1000000,"Historical fit is descriptive, not a win probability."
6,Smoothed frequency,168491,"['1', '6', '8', '4', '9', '1']",3,3,3,3,29,5,82.88,0,,,1000000,"Historical fit is descriptive, not a win probability."
7,Smoothed frequency,540727,"['5', '4', '0', '7', '2', '7']",3,3,3,3,25,5,82.85,0,,,1000000,"Historical fit is descriptive, not a win probability."
8,Historical profile,741654,"['7', '4', '1', '6', '5', '4']",3,3,3,3,27,5,83.06,0,,,1000000,"Historical fit is descriptive, not a win probability."
9,Historical profile,136762,"['1', '3', '6', '7', '6', '2']",3,3,3,3,25,5,83.0,0,,,1000000,"Historical fit is descriptive, not a win probability."
10,Historical profile,226159,"['2', '2', '6', '1', '5', '9']",3,3,3,3,25,5,82.35,0,,,1000000,"Historical fit is descriptive, not a win probability."
