rank,strategy,combination,numbers,even_count,odd_count,low_count,high_count,sum,unique_values,historical_fit_score,seen_before_count,rambolito_key,straight_permutations,theoretical_odds_1_in,note
1,Uniform baseline,617,"['6', '1', '7']",1,2,1,2,14,3,80.34,3,167,6,1000,"Historical fit is descriptive, not a win probability."
2,Uniform baseline,277,"['2', '7', '7']",1,2,1,2,16,2,72.09,2,277,3,1000,"Historical fit is descriptive, not a win probability."
3,Uniform baseline,496,"['4', '9', '6']",2,1,1,2,19,3,72.75,4,469,6,1000,"Historical fit is descriptive, not a win probability."
4,Uniform baseline,976,"['9', '7', '6']",1,2,0,3,22,3,56.16,4,679,6,1000,"Historical fit is descriptive, not a win probability."
5,Smoothed frequency,256,"['2', '5', '6']",2,1,1,2,13,3,82.93,4,256,6,1000,"Historical fit is descriptive, not a win probability."
6,Smoothed frequency,463,"['4', '6', '3']",2,1,2,1,13,3,82.91,3,346,6,1000,"Historical fit is descriptive, not a win probability."
7,Smoothed frequency,409,"['4', '0', '9']",2,1,2,1,13,3,82.88,1,049,6,1000,"Historical fit is descriptive, not a win probability."
8,Historical profile,436,"['4', '3', '6']",2,1,2,1,13,3,83.61,5,346,6,1000,"Historical fit is descriptive, not a win probability."
9,Historical profile,238,"['2', '3', '8']",2,1,2,1,13,3,83.02,2,238,6,1000,"Historical fit is descriptive, not a win probability."
10,Historical profile,274,"['2', '7', '4']",2,1,2,1,13,3,83.02,3,247,6,1000,"Historical fit is descriptive, not a win probability."
