draw_index,draw_date,draw_time,position,number
1,2023-12-23,14:00,1,0
1,2023-12-23,14:00,2,4
1,2023-12-23,14:00,3,6
2,2023-12-23,17:00,1,5
2,2023-12-23,17:00,2,3
2,2023-12-23,17:00,3,3
3,2023-12-23,21:00,1,9
3,2023-12-23,21:00,2,4
3,2023-12-23,21:00,3,3
4,2023-12-24,14:00,1,0
4,2023-12-24,14:00,2,5
4,2023-12-24,14:00,3,4
5,2023-12-24,17:00,1,7
5,2023-12-24,17:00,2,7
5,2023-12-24,17:00,3,0
6,2023-12-24,21:00,1,9
6,2023-12-24,21:00,2,1
6,2023-12-24,21:00,3,3
7,2023-12-26,14:00,1,3
7,2023-12-26,14:00,2,4
7,2023-12-26,14:00,3,7
8,2023-12-26,17:00,1,8
8,2023-12-26,17:00,2,9
8,2023-12-26,17:00,3,0
9,2023-12-26,21:00,1,7
9,2023-12-26,21:00,2,6
9,2023-12-26,21:00,3,9
10,2023-12-27,14:00,1,9
10,2023-12-27,14:00,2,5
10,2023-12-27,14:00,3,2
11,2023-12-27,17:00,1,3
11,2023-12-27,17:00,2,0
11,2023-12-27,17:00,3,8
12,2023-12-27,21:00,1,0
12,2023-12-27,21:00,2,0
12,2023-12-27,21:00,3,4
13,2023-12-28,14:00,1,2
13,2023-12-28,14:00,2,1
13,2023-12-28,14:00,3,6
14,2023-12-28,17:00,1,5
14,2023-12-28,17:00,2,3
14,2023-12-28,17:00,3,1
15,2023-12-28,21:00,1,4
15,2023-12-28,21:00,2,3
15,2023-12-28,21:00,3,0
16,2023-12-29,14:00,1,5
16,2023-12-29,14:00,2,1
16,2023-12-29,14:00,3,0
17,2023-12-29,17:00,1,3
17,2023-12-29,17:00,2,5
17,2023-12-29,17:00,3,4
18,2023-12-29,21:00,1,9
18,2023-12-29,21:00,2,2
18,2023-12-29,21:00,3,8
19,2023-12-30,14:00,1,5
19,2023-12-30,14:00,2,7
19,2023-12-30,14:00,3,1
20,2023-12-30,17:00,1,5
20,2023-12-30,17:00,2,9
20,2023-12-30,17:00,3,8
21,2023-12-30,21:00,1,4
21,2023-12-30,21:00,2,0
21,2023-12-30,21:00,3,7
22,2023-12-31,14:00,1,6
22,2023-12-31,14:00,2,7
22,2023-12-31,14:00,3,6
23,2023-12-31,17:00,1,3
23,2023-12-31,17:00,2,3
23,2023-12-31,17:00,3,6
24,2023-12-31,21:00,1,1
24,2023-12-31,21:00,2,5
24,2023-12-31,21:00,3,6
25,2024-01-02,14:00,1,5
25,2024-01-02,14:00,2,5
25,2024-01-02,14:00,3,2
26,2024-01-02,17:00,1,4
26,2024-01-02,17:00,2,8
26,2024-01-02,17:00,3,2
27,2024-01-02,21:00,1,5
27,2024-01-02,21:00,2,4
27,2024-01-02,21:00,3,7
28,2024-01-03,14:00,1,2
28,2024-01-03,14:00,2,1
28,2024-01-03,14:00,3,4
29,2024-01-03,17:00,1,5
29,2024-01-03,17:00,2,9
29,2024-01-03,17:00,3,3
30,2024-01-03,21:00,1,0
30,2024-01-03,21:00,2,3
30,2024-01-03,21:00,3,0
31,2024-01-04,14:00,1,8
31,2024-01-04,14:00,2,6
31,2024-01-04,14:00,3,6
32,2024-01-04,17:00,1,8
32,2024-01-04,17:00,2,2
32,2024-01-04,17:00,3,1
33,2024-01-04,21:00,1,1
33,2024-01-04,21:00,2,4
33,2024-01-04,21:00,3,3
34,2024-01-05,14:00,1,6
34,2024-01-05,14:00,2,0
34,2024-01-05,14:00,3,4
35,2024-01-05,17:00,1,5
35,2024-01-05,17:00,2,7
35,2024-01-05,17:00,3,6
36,2024-01-05,21:00,1,1
36,2024-01-05,21:00,2,2
36,2024-01-05,21:00,3,3
37,2024-01-06,14:00,1,4
37,2024-01-06,14:00,2,1
37,2024-01-06,14:00,3,3
38,2024-01-06,17:00,1,9
38,2024-01-06,17:00,2,5
38,2024-01-06,17:00,3,1
39,2024-01-06,21:00,1,9
39,2024-01-06,21:00,2,9
39,2024-01-06,21:00,3,7
40,2024-01-07,14:00,1,5
40,2024-01-07,14:00,2,3
40,2024-01-07,14:00,3,3
41,2024-01-07,17:00,1,7
41,2024-01-07,17:00,2,2
41,2024-01-07,17:00,3,1
42,2024-01-07,21:00,1,9
42,2024-01-07,21:00,2,1
42,2024-01-07,21:00,3,5
43,2024-01-08,14:00,1,0
43,2024-01-08,14:00,2,2
43,2024-01-08,14:00,3,4
44,2024-01-08,17:00,1,7
44,2024-01-08,17:00,2,3
44,2024-01-08,17:00,3,4
45,2024-01-08,21:00,1,5
45,2024-01-08,21:00,2,3
45,2024-01-08,21:00,3,5
46,2024-01-09,14:00,1,9
46,2024-01-09,14:00,2,5
46,2024-01-09,14:00,3,7
47,2024-01-09,17:00,1,3
47,2024-01-09,17:00,2,0
47,2024-01-09,17:00,3,5
48,2024-01-09,21:00,1,4
48,2024-01-09,21:00,2,1
48,2024-01-09,21:00,3,5
49,2024-01-10,14:00,1,1
49,2024-01-10,14:00,2,9
49,2024-01-10,14:00,3,8
50,2024-01-10,17:00,1,0
50,2024-01-10,17:00,2,4
50,2024-01-10,17:00,3,0
51,2024-01-10,21:00,1,8
51,2024-01-10,21:00,2,1
51,2024-01-10,21:00,3,0
52,2024-01-11,14:00,1,0
52,2024-01-11,14:00,2,7
52,2024-01-11,14:00,3,3
53,2024-01-11,17:00,1,5
53,2024-01-11,17:00,2,2
53,2024-01-11,17:00,3,1
54,2024-01-11,21:00,1,9
54,2024-01-11,21:00,2,9
54,2024-01-11,21:00,3,1
55,2024-01-12,14:00,1,4
55,2024-01-12,14:00,2,4
55,2024-01-12,14:00,3,7
56,2024-01-12,17:00,1,4
56,2024-01-12,17:00,2,3
56,2024-01-12,17:00,3,7
57,2024-01-12,21:00,1,2
57,2024-01-12,21:00,2,4
57,2024-01-12,21:00,3,1
58,2024-01-13,14:00,1,9
58,2024-01-13,14:00,2,4
58,2024-01-13,14:00,3,7
59,2024-01-13,17:00,1,1
59,2024-01-13,17:00,2,3
59,2024-01-13,17:00,3,2
60,2024-01-13,21:00,1,0
60,2024-01-13,21:00,2,2
60,2024-01-13,21:00,3,4
61,2024-01-14,14:00,1,5
61,2024-01-14,14:00,2,5
61,2024-01-14,14:00,3,0
62,2024-01-14,17:00,1,8
62,2024-01-14,17:00,2,6
62,2024-01-14,17:00,3,9
63,2024-01-14,21:00,1,3
63,2024-01-14,21:00,2,1
63,2024-01-14,21:00,3,0
64,2024-01-15,14:00,1,8
64,2024-01-15,14:00,2,4
64,2024-01-15,14:00,3,9
65,2024-01-15,17:00,1,9
65,2024-01-15,17:00,2,7
65,2024-01-15,17:00,3,7
66,2024-01-15,21:00,1,1
66,2024-01-15,21:00,2,3
66,2024-01-15,21:00,3,8
67,2024-01-16,14:00,1,3
67,2024-01-16,14:00,2,1
67,2024-01-16,14:00,3,7
68,2024-01-16,17:00,1,4
68,2024-01-16,17:00,2,0
68,2024-01-16,17:00,3,8
69,2024-01-16,21:00,1,5
69,2024-01-16,21:00,2,8
69,2024-01-16,21:00,3,4
70,2024-01-17,14:00,1,5
70,2024-01-17,14:00,2,7
70,2024-01-17,14:00,3,1
71,2024-01-17,17:00,1,7
71,2024-01-17,17:00,2,7
71,2024-01-17,17:00,3,0
72,2024-01-17,21:00,1,1
72,2024-01-17,21:00,2,2
72,2024-01-17,21:00,3,9
73,2024-01-18,14:00,1,8
73,2024-01-18,14:00,2,4
73,2024-01-18,14:00,3,0
74,2024-01-18,17:00,1,5
74,2024-01-18,17:00,2,1
74,2024-01-18,17:00,3,7
75,2024-01-18,21:00,1,9
75,2024-01-18,21:00,2,1
75,2024-01-18,21:00,3,5
76,2024-01-19,14:00,1,5
76,2024-01-19,14:00,2,4
76,2024-01-19,14:00,3,5
77,2024-01-19,17:00,1,5
77,2024-01-19,17:00,2,0
77,2024-01-19,17:00,3,5
78,2024-01-19,21:00,1,4
78,2024-01-19,21:00,2,7
