rank,strategy,combination,numbers,even_count,odd_count,low_count,high_count,sum,unique_values,historical_fit_score,seen_before_count,rambolito_key,straight_permutations,theoretical_odds_1_in,odds_scope,note
1,Uniform baseline,16-03,"['16', '03']",1,1,2,0,19,2,56.44,0,03-16,2,961,Straight play,"Historical fit is descriptive, not a win probability."
2,Uniform baseline,23-30,"['23', '30']",1,1,0,2,53,2,60.41,0,23-30,2,961,Straight play,"Historical fit is descriptive, not a win probability."
3,Uniform baseline,03-07,"['03', '07']",0,2,2,0,10,2,35.88,0,03-07,2,961,Straight play,"Historical fit is descriptive, not a win probability."
4,Uniform baseline,01-09,"['01', '09']",0,2,2,0,10,2,35.88,0,01-09,2,961,Straight play,"Historical fit is descriptive, not a win probability."
5,Smoothed frequency,10-23,"['10', '23']",1,1,1,1,33,2,95.12,0,10-23,2,961,Straight play,"Historical fit is descriptive, not a win probability."
6,Smoothed frequency,10-17,"['10', '17']",1,1,1,1,27,2,93.37,0,10-17,2,961,Straight play,"Historical fit is descriptive, not a win probability."
7,Smoothed frequency,13-28,"['13', '28']",1,1,1,1,41,2,91.05,0,13-28,2,961,Straight play,"Historical fit is descriptive, not a win probability."
8,Historical profile,21-02,"['21', '02']",1,1,1,1,23,2,90.28,1,02-21,2,961,Straight play,"Historical fit is descriptive, not a win probability."
9,Historical profile,21-18,"['21', '18']",1,1,0,2,39,2,87.62,0,18-21,2,961,Straight play,"Historical fit is descriptive, not a win probability."
10,Historical profile,05-28,"['05', '28']",1,1,1,1,33,2,87.58,0,05-28,2,961,Straight play,"Historical fit is descriptive, not a win probability."
